	HMDB (*Representative ID)	Metabolite	Method	Pooled QC sample CV	RT	m/z
HILp_QI3296			HILIC-pos	2.664076741	3.56	184.0947
HILp_QI8335			HILIC-pos	0.328313236	3.56	293.1863
HILp_QI9628			HILIC-pos	0.408953221	3.56	324.2186
HILp_QI840			HILIC-pos	0.150387599	3.56	125.0601
HILp_QI1638			HILIC-pos	0.032573386	3.56	144.1021
HILp_QI2025			HILIC-pos	0.479939528	3.56	153.1034
HILp_QI2176			HILIC-pos	2.838739009	3.56	156.1003
HILp_QI9055			HILIC-pos	0.045654614	3.56	310.1288
HILp_QI10004			HILIC-pos	0.524661333	3.56	335.1923
HILp_QI12617			HILIC-pos	0.24611768	3.56	431.3151
HILp_QI1307			HILIC-pos	0.374519205	3.57	137.0467
HILp_QI1787			HILIC-pos	0.082433589	3.57	147.0766
HILp_QI9853			HILIC-pos	0.795290724	3.57	331.138
HILp_QI10329			HILIC-pos		3.57	344.2791
HILp_QI1226			HILIC-pos	1.028851305	3.57	136.023
HILp_QI2607			HILIC-pos	0.497658603	3.57	166.0852
HILp_QI2709			HILIC-pos	0.247709142	3.57	168.1019
HILp_QI5802			HILIC-pos	0.707014456	3.57	239.1639
HILp_QI7039			HILIC-pos	0.283454595	3.57	267.1801
HILp_QI9493			HILIC-pos	0.227090467	3.57	321.0897
HILp_QI10643			HILIC-pos	0.094874717	3.57	354.0887
HILp_QI835			HILIC-pos	0.224695905	3.57	125.0368
HILp_QI1240			HILIC-pos	0.626164363	3.57	136.041
HILp_QI3963			HILIC-pos	0.269239356	3.57	198.1127
HILp_QI6443			HILIC-pos	0.388100511	3.57	254.1235
HILp_QI11171			HILIC-pos	0.477527128	3.57	371.2582
HILp_QI803			HILIC-pos	0.585895358	3.58	124.0551
HILp_QI822			HILIC-pos	2.636702172	3.58	124.0864
HILp_QI3560			HILIC-pos	0.403442917	3.58	189.0756
HILp_QI8451			HILIC-pos	0.234887895	3.58	296.1352
HILp_QI10006			HILIC-pos	0.463392385	3.58	335.1927
HILp_QI10588			HILIC-pos	0.076183203	3.58	352.1397
HILp_QI13870			HILIC-pos	0.292352229	3.58	487.3416
HILp_QI2038			HILIC-pos	2.833802028	3.58	154.0456
HILp_QI3331			HILIC-pos	0.39181877	3.58	184.1337
HILp_QI6538			HILIC-pos	1.060500013	3.58	255.1591
HILp_QI8444			HILIC-pos	0.070174558	3.58	296.1133
HILp_QI720			HILIC-pos	0.47311184	3.59	122.0238
HILp_QI1252			HILIC-pos	0.380410468	3.59	136.0577
HILp_QI3872			HILIC-pos	0.382756099	3.59	197.0635
HILp_QI8483			HILIC-pos	0.314939056	3.59	297.1447
HILp_QI837			HILIC-pos	0.018682692	3.59	125.0431
HILp_QI2621			HILIC-pos	0.747910054	3.59	166.0885
HILp_QI2646			HILIC-pos	3.021715908	3.59	167.0703
HILp_QI4214			HILIC-pos	0.103081674	3.59	204.0692
HILp_QI4322			HILIC-pos	2.055887828	3.59	206.1406
HILp_QI4993			HILIC-pos	3.935010475	3.59	223.1102
HILp_QI7887			HILIC-pos	0.43961699	3.59	284.1492
HILp_QI9848			HILIC-pos	1.039102168	3.59	331.1304
HILp_QI9959			HILIC-pos	0.383944316	3.59	334.1279
HILp_QI10105			HILIC-pos	0.367491532	3.59	338.1251
HILp_QI12895			HILIC-pos	0.113974267	3.59	442.1973
HILp_QI797			HILIC-pos	0.017040198	3.6	124.0399
HILp_QI804			HILIC-pos	0.508965656	3.6	124.0586
HILp_QI890			HILIC-pos	1.026858664	3.6	126.0927
HILp_QI1151			HILIC-pos	0.443280405	3.6	133.0859
HILp_QI2482			HILIC-pos	0.333554318	3.6	163.0421
HILp_QI3988			HILIC-pos	0.467902016	3.6	199.0964
HILp_QI4084			HILIC-pos	0.39464865	3.6	201.0765
HILp_QI5713			HILIC-pos	0.372325481	3.6	237.1484
HILp_QI7223			HILIC-pos	0.172419968	3.6	271.0812
HILp_QI7241			HILIC-pos	0.380951372	3.6	271.1288
HILp_QI11124			HILIC-pos	0.022942503	3.6	370.0839
HILp_QI13025			HILIC-pos	0.053404633	3.6	448.3064
HILp_QI22045			HILIC-pos	0.062578155	3.6	623.3086
HILp_QI606			HILIC-pos	0.085096509	3.6	118.0657
HILp_QI807			HILIC-pos	0.403977721	3.6	124.0747
HILp_QI1857			HILIC-pos	0.389546265	3.6	149.096
HILp_QI10152			HILIC-pos	0.073987408	3.6	339.192
HILp_QI12321			HILIC-pos	0.251052389	3.6	419.3171
HILp_QI24305			HILIC-pos	0.058152491	3.6	698.5423
HILp_QI2357			HILIC-pos	0.406379612	3.61	160.0422
HILp_QI2623			HILIC-pos	0.590445355	3.61	166.0894
HILp_QI2737			HILIC-pos	0.798892367	3.61	169.0607
HILp_QI3708			HILIC-pos	0.150691659	3.61	193.0812
HILp_QI3718			HILIC-pos	0.456778823	3.61	193.1225
HILp_QI8904			HILIC-pos	0.718750958	3.61	306.0992
HILp_QI9233			HILIC-pos	0.201094088	3.61	314.1242
HILp_QI9627			HILIC-pos	0.468525105	3.61	324.2164
HILp_QI10140			HILIC-pos	0.193349793	3.61	339.1556
HILp_QI10939			HILIC-pos	0.202757143	3.61	363.1558
HILp_QI11172			HILIC-pos	0.481741293	3.61	371.2583
HILp_QI11247			HILIC-pos	0.595819985	3.61	374.3046
HILp_QI12522			HILIC-pos	0.209539573	3.61	428.2541
HILp_QI12697			HILIC-pos	0.235331786	3.61	434.294
HILp_QI809			HILIC-pos	0.11570961	3.61	124.076
HILp_QI2492			HILIC-pos	0.534105001	3.61	163.0753
HILp_QI7869			HILIC-pos	0.173744842	3.61	284.1132
HILp_QI8176			HILIC-pos	0.167081798	3.61	290.1021
HILp_QI8868			HILIC-pos	0.045607036	3.61	305.1502
HILp_QI9775			HILIC-pos	0.032995437	3.61	329.1349
HILp_QI9932			HILIC-pos	0.362739058	3.61	333.1812
HILp_QI12379			HILIC-pos	0.209659369	3.61	421.3061
HILp_QI13842			HILIC-pos	0.037485037	3.61	486.2236
HILp_QI23633			HILIC-pos	0.163676263	3.61	670.5103
HILp_QI1294			HILIC-pos	0.404502301	3.61	137.0448
HILp_QI3294			HILIC-pos	2.121510297	3.61	184.0947
HILp_QI3843			HILIC-pos	0.293405845	3.61	196.0974
HILp_QI3928			HILIC-pos	0.75261439	3.61	198.0624
HILp_QI7761			HILIC-pos	0.076935721	3.61	282.1337
HILp_QI8313			HILIC-pos	0.626157858	3.61	293.1492
HILp_QI8988			HILIC-pos	0.387012979	3.61	308.1493
HILp_QI9605			HILIC-pos	0.043353047	3.61	324.1444
HILp_QI9736			HILIC-pos	0.390825678	3.61	328.1396
HILp_QI10365			HILIC-pos	0.09645516	3.61	345.1445
HILp_QI357			HILIC-pos	0.523777011	3.62	107.0376
HILp_QI1812			HILIC-pos	0.049552163	3.62	148.0607
HILp_QI2707			HILIC-pos	0.403299228	3.62	168.1001
HILp_QI4083			HILIC-pos	0.471297143	3.62	201.0762
HILp_QI4526			HILIC-pos	0.042094833	3.62	211.1081
HILp_QI6448			HILIC-pos	0.262564333	3.62	254.1385
HILp_QI9665			HILIC-pos	0.46273967	3.62	325.2009
HILp_QI16416			HILIC-pos	0.214895061	3.62	542.3117
HILp_QI23436			HILIC-pos		3.62	663.4907
HILp_QI1450			HILIC-pos	2.592998072	3.62	140.0691
HILp_QI1947			HILIC-pos	0.637661015	3.62	151.0997
HILp_QI2624			HILIC-pos	1.74610064	3.62	166.0897
HILp_QI3288			HILIC-pos	0.938354565	3.62	184.0636
HILp_QI12253			HILIC-pos	0.954732557	3.62	417.2007
HILp_QI12283			HILIC-pos	0.438910219	3.62	418.2127
HILp_QI13460			HILIC-pos	0.08821017	3.62	468.2132
HILp_QI2645			HILIC-pos	0.539090934	3.63	167.0701
HILp_QI2675			HILIC-pos	1.06056842	3.63	167.1077
HILp_QI3303			HILIC-pos	0.076790537	3.63	184.0969
HILp_QI5369			HILIC-pos	1.165316619	3.63	230.0479
HILp_QI6744			HILIC-pos	0.06685185	3.63	260.0922
HILp_QI10595			HILIC-pos	0.405070506	3.63	352.176
HILp_QI2094			HILIC-pos	1.179016257	3.63	155.0477
HILp_QI2236			HILIC-pos	0.596341028	3.63	158.0805
HILp_QI5459			HILIC-pos	0.544189966	3.63	231.134
HILp_QI5712			HILIC-pos	0.61655193	3.63	237.1483
HILp_QI8450			HILIC-pos	1.232147348	3.63	296.1308
HILp_QI9037			HILIC-pos	0.814206121	3.63	309.1815
HILp_QI838			HILIC-pos	0.460496485	3.64	125.0598
HILp_QI2269			HILIC-pos	0.557732016	3.64	158.1175
HILp_QI3264			HILIC-pos	0.495014784	3.64	183.1032
HILp_QI9563			HILIC-pos	0.193330028	3.64	323.1239
HILp_QI9852			HILIC-pos	0.690153427	3.64	331.1369
HILp_QI3092			HILIC-pos	0.864188288	3.64	179.0707
HILp_QI3873			HILIC-pos	0.553683738	3.64	197.0639
HILp_QI3954			HILIC-pos	0.337739821	3.64	198.1124
HILp_QI6964			HILIC-pos	0.316519687	3.64	266.1024
HILp_QI9826			HILIC-pos		3.64	330.2633
HILp_QI22676			HILIC-pos	0.542837024	3.64	639.3034
HILp_QI1250			HILIC-pos	0.389558571	3.65	136.057
HILp_QI2010			HILIC-pos	0.127703947	3.65	153.0413
HILp_QI4662			HILIC-pos	0.033607241	3.65	214.1076
HILp_QI5270			HILIC-pos	0.481713946	3.65	228.0691
HILp_QI5942			HILIC-pos	3.483189114	3.65	243.1055
HILp_QI7963			HILIC-pos	0.695380157	3.65	286.1278
HILp_QI10141			HILIC-pos	0.534824339	3.65	339.156
HILp_QI10534			HILIC-pos	0.026992718	3.65	349.2128
HILp_QI10937			HILIC-pos	0.415653273	3.65	363.1547
HILp_QI831			HILIC-pos	0.477704933	3.65	124.0873
HILp_QI848			HILIC-pos	0.71957705	3.65	125.079
HILp_QI1311			HILIC-pos	0.679922707	3.65	137.0599
HILp_QI1994			HILIC-pos	0.631241599	3.65	152.1
HILp_QI2235			HILIC-pos	3.459718573	3.65	158.0802
HILp_QI3295			HILIC-pos	3.39900059	3.65	184.0947
HILp_QI4327			HILIC-pos	0.542352561	3.65	207.0651
HILp_QI7570			HILIC-pos	0.143500497	3.65	278.1024
HILp_QI9502			HILIC-pos	0.038396029	3.65	321.1467
HILp_QI9993			HILIC-pos	0.889264518	3.65	335.1599
HILp_QI10103			HILIC-pos	0.772504336	3.65	338.1233
HILp_QI62			HILIC-pos	0.406789499	3.66	79.0429
HILp_QI1429			HILIC-pos	0.851075259	3.66	139.0865
HILp_QI1602			HILIC-pos	0.728739896	3.66	143.1067
HILp_QI2553			HILIC-pos	0.576121393	3.66	165.0551
HILp_QI5742			HILIC-pos	0.192278164	3.66	238.1075
HILp_QI6264			HILIC-pos	0.730274122	3.66	250.1074
HILp_QI8667			HILIC-pos	0.075009243	3.66	301.1183
HILp_QI805			HILIC-pos	0.913188554	3.66	124.0604
HILp_QI2859			HILIC-pos	0.024238689	3.66	172.0972
HILp_QI3408			HILIC-pos	0.484912803	3.66	186.0915
HILp_QI5088			HILIC-pos	0.54934815	3.66	225.0757
HILp_QI5111			HILIC-pos	0.029275627	3.66	225.1237
HILp_QI6181			HILIC-pos	0.774755265	3.66	248.091
HILp_QI22743			HILIC-pos		3.66	641.509
HILp_QI156			HILIC-pos	0.819863517	3.66	89.0603
HILp_QI3233			HILIC-pos	0.243775059	3.66	183.0654
HILp_QI11249			HILIC-pos	0.406223619	3.66	374.3053
HILp_QI796			HILIC-pos	0.668109434	3.67	124.0354
HILp_QI1277			HILIC-pos	0.222769097	3.67	136.0762
HILp_QI2299			HILIC-pos	0.647740769	3.67	159.0763
HILp_QI3200			HILIC-pos	0.023139066	3.67	182.0817
HILp_QI5938			HILIC-pos	0.359901787	3.67	243.0869
HILp_QI6291			HILIC-pos	1.200340179	3.67	251.0876
HILp_QI2248			HILIC-pos	0.236420918	3.67	158.0814
HILp_QI3089			HILIC-pos	0.874169077	3.67	179.0703
HILp_QI8127			HILIC-pos	0.715093947	3.67	289.1172
HILp_QI2237			HILIC-pos	0.477450962	3.68	158.0805
HILp_QI2565			HILIC-pos	0.912725146	3.68	165.0907
HILp_QI2618			HILIC-pos	0.099299433	3.68	166.0867
HILp_QI4623			HILIC-pos	0.452316305	3.68	213.123
HILp_QI6747			HILIC-pos	0.062141992	3.68	260.1033
HILp_QI7965			HILIC-pos	0.500290832	3.68	286.1283
HILp_QI9477			HILIC-pos	0.461719513	3.68	320.1118
HILp_QI1943			HILIC-pos	1.174752965	3.68	151.0983
HILp_QI3650			HILIC-pos	0.041604986	3.68	191.0852
HILp_QI3823			HILIC-pos	2.480723803	3.68	196.0647
HILp_QI8786			HILIC-pos	0.055270346	3.68	303.1375
HILp_QI10885			HILIC-pos	0.061839546	3.68	361.104
HILp_QI2644			HILIC-pos	0.930411033	3.69	167.07
HILp_QI3286			HILIC-pos	0.949514484	3.69	184.0623
HILp_QI6296			HILIC-pos	0.068247867	3.69	251.1029
HILp_QI7269			HILIC-pos	0.083124977	3.69	272.1128
HILp_QI1247			HILIC-pos	0.518177419	3.69	136.0568
HILp_QI3888			HILIC-pos	0.07964451	3.69	197.0925
HILp_QI6292			HILIC-pos	0.840941486	3.69	251.0883
HILp_QI1011			HILIC-pos	0.055173151	3.7	130.0503
HILp_QI1975			HILIC-pos		3.7	152.0647
HILp_QI7907			HILIC-pos	0.704971232	3.7	285.0831
HILp_QI10278			HILIC-pos	0.238012893	3.7	343.1292
HILp_QI4304			HILIC-pos	0.076573964	3.7	206.1028
HILp_QI6268			HILIC-pos	0.439320973	3.7	250.1079
HILp_QI175			HILIC-pos	0.770089443	3.71	91.0188
HILp_QI1851			HILIC-pos	1.294307228	3.71	149.0709
HILp_QI1940			HILIC-pos	1.724371686	3.71	151.0961
HILp_QI2013			HILIC-pos		3.71	153.0658
HILp_QI2786			HILIC-pos	0.064483698	3.71	170.0815
HILp_QI3837			HILIC-pos	0.308366449	3.71	196.0972
HILp_QI3287			HILIC-pos	0.769552179	3.71	184.0629
HILp_QI3407			HILIC-pos	0.700449971	3.71	186.0914
HILp_QI7577			HILIC-pos	0.070976691	3.71	278.1138
HILp_QI65			HILIC-pos	0.928144999	3.72	81.0338
HILp_QI356			HILIC-pos	0.753907971	3.72	107.0374
HILp_QI5149			HILIC-pos	0.041709492	3.72	226.1077
HILp_QI8601			HILIC-pos	0.657977989	3.72	300.1097
HILp_QI8810			HILIC-pos		3.72	304.1029
HILp_QI441			HILIC-pos	0.968178715	3.72	111.0445
HILp_QI2238			HILIC-pos	1.915395482	3.72	158.0807
HILp_QI3926			HILIC-pos	0.865119488	3.72	198.0588
HILp_QI5485			HILIC-pos	0.614343918	3.72	232.0964
HILp_QI8517			HILIC-pos	0.690315416	3.72	298.1279
HILp_QI21470			HILIC-pos	0.027971037	3.72	611.3453
HILp_QI1289			HILIC-pos	0.741199921	3.73	137.0233
HILp_QI3289			HILIC-pos	1.058982518	3.73	184.0642
HILp_QI9478			HILIC-pos	0.521656609	3.73	320.1119
HILp_QI3398			HILIC-pos	0.039930401	3.73	186.0763
HILp_QI4456			HILIC-pos	0.958920902	3.73	210.0767
HILp_QI5269			HILIC-pos	0.509625452	3.73	228.0689
HILp_QI8769			HILIC-pos	0.273152377	3.73	303.0608
HILp_QI2039			HILIC-pos	0.806729227	3.74	154.0459
HILp_QI7568			HILIC-pos	0.602075472	3.74	278.1019
HILp_QI5087			HILIC-pos	0.765265321	3.74	225.0754
HILp_QI6211			HILIC-pos	0.220377706	3.74	249.0541
HILp_QI6677			HILIC-pos	0.041219119	3.74	258.1705
HILp_QI9935			HILIC-pos	0.559253631	3.74	333.1814
HILp_QI1938			HILIC-pos	0.279523087	3.74	151.096
HILp_QI3869			HILIC-pos	0.291795961	3.74	197.0535
HILp_QI5810			HILIC-pos	0.452348511	3.74	240.0855
HILp_QI9030			HILIC-pos	0.721001746	3.75	309.1809
HILp_QI9273			HILIC-pos	0.435163947	3.75	315.0613
HILp_QI10734			HILIC-pos	0.096322665	3.75	356.2951
HILp_QI6604			HILIC-pos		3.75	257.1136
HILp_QI1248			HILIC-pos	0.359341643	3.76	136.0568
HILp_QI1942			HILIC-pos	0.465687626	3.76	151.0979
HILp_QI2483			HILIC-pos	0.551190399	3.76	163.0422
HILp_QI7237			HILIC-pos	0.681822879	3.76	271.1079
HILp_QI9239			HILIC-pos		3.76	314.1428
HILp_QI11496			HILIC-pos	0.069749404	3.76	384.083
HILp_QI2114			HILIC-pos	0.364531398	3.76	155.0816
HILp_QI1945			HILIC-pos	0.762179184	3.77	151.0988
HILp_QI4921			HILIC-pos	0.281234513	3.77	221.1019
HILp_QI4459			HILIC-pos	0.63049663	3.78	210.077
HILp_QI7535			HILIC-pos	0.550729417	3.78	277.1194
HILp_QI1278			HILIC-pos	0.81565244	3.78	136.0763
HILp_QI3163			HILIC-pos	0.239557204	3.78	181.098
HILp_QI3841			HILIC-pos	0.185364905	3.78	196.0972
HILp_QI16645			HILIC-pos		3.78	545.3584
HILp_QI1675			HILIC-pos	0.123999303	3.79	145.0497
HILp_QI1939			HILIC-pos	0.455746356	3.79	151.096
HILp_QI2455			HILIC-pos	0.076469321	3.79	162.0762
HILp_QI8510			HILIC-pos		3.79	298.0938
HILp_QI19762			HILIC-pos	0.035647643	3.79	587.2877
HILp_QI1225			HILIC-pos	0.371713698	3.79	136.0226
HILp_QI16417			HILIC-pos	0.295674572	3.79	542.3121
HILp_QI16669			HILIC-pos	0.364621762	3.79	546.1172
HILp_QI1296			HILIC-pos	3.397149759	3.8	137.0453
HILp_QI2123			HILIC-pos	0.496645923	3.8	155.1039
HILp_QI16953			HILIC-pos	0.755435281	3.8	550.3134
HILp_QI3262			HILIC-pos		3.8	183.1031
HILp_QI10074			HILIC-pos	0.043783696	3.8	337.1766
HILp_QI2115			HILIC-pos	0.210121242	3.81	155.0817
HILp_QI2089			HILIC-pos	0.429284815	3.81	154.2268
HILp_QI13589			HILIC-pos		3.81	473.2497
HILp_QI1298			HILIC-pos	0.734567613	3.82	137.0458
HILp_QI3366			HILIC-pos	0.832185001	3.82	185.0926
HILp_QI1201			HILIC-pos	0.049888714	3.82	135.032
HILp_QI2178			HILIC-pos	0.409072751	3.82	156.1016
HILp_QI9931			HILIC-pos	0.334239965	3.82	333.1812
HILp_QI12436			HILIC-pos	0.109913939	3.82	423.3218
HILp_QI1295			HILIC-pos	0.368593444	3.82	137.0451
HILp_QI2488			HILIC-pos	1.033731116	3.82	163.0624
HILp_QI2848			HILIC-pos	0.142691192	3.82	172.0603
HILp_QI3766			HILIC-pos	0.022691784	3.82	195.0768
HILp_QI376			HILIC-pos	0.022586542	3.83	108.0451
HILp_QI1233			HILIC-pos	0.020312918	3.83	136.0398
HILp_QI1305			HILIC-pos	0.604346116	3.83	137.0464
HILp_QI2044			HILIC-pos	0.017681444	3.83	154.0502
HILp_QI8847			HILIC-pos	0.67971089	3.83	305.0767
HILp_QI10912			HILIC-pos	0.114752328	3.83	362.1452
HILp_QI106			HILIC-pos	0.972765157	3.83	85.0292
HILp_QI6038			HILIC-pos	0.072797295	3.83	245.096
HILp_QI1946			HILIC-pos	0.719118604	3.84	151.0988
HILp_QI2095			HILIC-pos	0.018519068	3.84	155.0534
HILp_QI4450			HILIC-pos	0.776855068	3.84	210.0758
HILp_QI2074			HILIC-pos	0.310300181	3.85	154.1007
HILp_QI10138			HILIC-pos	0.712352294	3.85	339.1547
HILp_QI10151			HILIC-pos	0.490432381	3.85	339.1917
HILp_QI1245			HILIC-pos	1.388615415	3.85	136.0564
HILp_QI1944			HILIC-pos	0.530553526	3.85	151.0984
HILp_QI2090			HILIC-pos	0.454492023	3.85	154.2271
HILp_QI9184			HILIC-pos	0.105574641	3.85	313.1399
HILp_QI2489			HILIC-pos	0.914739735	3.86	163.0625
HILp_QI4956			HILIC-pos	0.531252084	3.86	222.0767
HILp_QI6563			HILIC-pos	0.695666609	3.86	256.0854
HILp_QI13407			HILIC-pos	0.094457838	3.86	465.3215
HILp_QI5444			HILIC-pos	0.065273256	3.86	231.0843
HILp_QI4565			HILIC-pos	0.022807294	3.86	212.0921
HILp_QI8602			HILIC-pos	0.519526923	3.86	300.1103
HILp_QI11194			HILIC-pos	0.915586561	3.86	372.1306
HILp_QI13511			HILIC-pos	0.025912644	3.86	470.2297
HILp_QI1301			HILIC-pos	0.29000804	3.87	137.046
HILp_QI5199			HILIC-pos	0.174640654	3.87	227.0855
HILp_QI2088			HILIC-pos	3.943625847	3.87	154.2261
HILp_QI2116			HILIC-pos	0.282028578	3.87	155.0817
HILp_QI2999			HILIC-pos	0.05002454	3.87	176.071
HILp_QI3925			HILIC-pos		3.87	198.0588
HILp_QI10008			HILIC-pos	0.06765975	3.87	335.1971
HILp_QI103			HILIC-pos	0.969391601	3.88	85.0291
HILp_QI9319			HILIC-pos	0.173232545	3.88	316.1106
HILp_QI1246			HILIC-pos	0.643684505	3.88	136.0566
HILp_QI2526			HILIC-pos	0.025395373	3.88	164.071
HILp_QI3137			HILIC-pos	0.040869525	3.88	180.1021
HILp_QI16753			HILIC-pos	0.345911808	3.88	547.1206
HILp_QI2124			HILIC-pos	0.695121678	3.89	155.1041
HILp_QI480			HILIC-pos	0.276769596	3.89	112.0766
HILp_QI2490			HILIC-pos	0.603001727	3.89	163.0628
HILp_QI3263			HILIC-pos	1.050495855	3.89	183.1032
HILp_QI3606			HILIC-pos	0.194994715	3.89	190.0501
HILp_QI7325			HILIC-pos	0.530959411	3.89	273.0971
HILp_QI10715			HILIC-pos	0.692356743	3.9	356.161
HILp_QI3032			HILIC-pos	0.097293	3.9	177.0659
HILp_QI4825			HILIC-pos	0.249280656	3.9	218.1026
HILp_QI5737			HILIC-pos	2.074871473	3.9	238.0724
HILp_QI8485			HILIC-pos	0.802805016	3.9	297.1449
HILp_QI1292			HILIC-pos	0.092040971	3.9	137.0368
HILp_QI2072			HILIC-pos	0.296831561	3.9	154.0998
HILp_QI4365			HILIC-pos	0.357471605	3.9	208.0614
HILp_QI7070			HILIC-pos	0.923730232	3.9	268.1186
HILp_QI105			HILIC-pos	0.811945001	3.91	85.0291
HILp_QI8518			HILIC-pos	0.504402416	3.91	298.1288
HILp_QI2091			HILIC-pos	0.785123094	3.91	154.9827
HILp_QI6432			HILIC-pos	0.105302155	3.91	254.1025
HILp_QI13841			HILIC-pos	0.099978695	3.91	486.2236
HILp_QI2234			HILIC-pos	0.920227346	3.92	158.0794
HILp_QI6454			HILIC-pos	0.55359407	3.92	254.1394
HILp_QI10908			HILIC-pos	2.371778365	3.92	362.116
HILp_QI2133			HILIC-pos	1.036490536	3.92	156.0503
HILp_QI6210			HILIC-pos	0.878571094	3.92	249.054
HILp_QI8791			HILIC-pos	0.047712421	3.92	303.1707
HILp_QI4035			HILIC-pos	0.046578231	3.93	200.092
HILp_QI6694			HILIC-pos	0.646579463	3.93	259.1079
HILp_QI1966			HILIC-pos	0.126297273	3.93	152.0345
HILp_QI5484			HILIC-pos		3.93	232.0835
HILp_QI7278			HILIC-pos	0.429228898	3.93	272.1141
HILp_QI1302			HILIC-pos	0.297376125	3.94	137.0461
HILp_QI1324			HILIC-pos	0.756263236	3.94	137.072
HILp_QI8492			HILIC-pos	0.577833869	3.94	297.1471
HILp_QI1299			HILIC-pos	0.273063921	3.94	137.0459
HILp_QI2244			HILIC-pos	0.146918752	3.94	158.0812
HILp_QI2696			HILIC-pos	0.050473524	3.94	168.066
HILp_QI4663			HILIC-pos	0.095663192	3.94	214.1077
HILp_QI4755			HILIC-pos	0.116191833	3.94	216.1236
HILp_QI10716			HILIC-pos	0.816583239	3.94	356.1622
HILp_QI22410			HILIC-pos	0.358477317	3.94	634.4562
HILp_QI4001			HILIC-pos	0.068476643	3.95	199.1081
HILp_QI9382			HILIC-pos	0.605808552	3.95	317.1506
HILp_QI10213			HILIC-pos	0.075837906	3.95	341.1346
HILp_QI15751			HILIC-pos	1.230636647	3.95	528.4137
HILp_QI22730			HILIC-pos	0.600216583	3.95	641.3182
HILp_QI6265			HILIC-pos	0.768886134	3.95	250.1078
HILp_QI10030			HILIC-pos	0.829220552	3.95	336.1433
HILp_QI12784			HILIC-pos	0.08600248	3.95	438.167
HILp_QI25018			HILIC-pos	0.0879515	3.95	742.5692
HILp_QI2596			HILIC-pos	0.382149776	3.96	166.053
HILp_QI4990			HILIC-pos	0.259897108	3.96	223.1082
HILp_QI7120			HILIC-pos	0.032463333	3.96	269.1135
HILp_QI16668			HILIC-pos	0.101609521	3.96	546.1154
HILp_QI4926			HILIC-pos	0.600597763	3.96	221.1031
HILp_QI6593			HILIC-pos	0.061275514	3.96	256.1908
HILp_QI7530			HILIC-pos	0.037281927	3.96	277.1187
HILp_QI8355			HILIC-pos	0.345875443	3.96	294.1335
HILp_QI534			HILIC-pos	0.312711616	3.97	114.092
HILp_QI726			HILIC-pos	0.866858649	3.97	122.0602
HILp_QI4767			HILIC-pos	0.063528183	3.97	216.1597
HILp_QI8218			HILIC-pos	0.709243534	3.97	291.0946
HILp_QI8903			HILIC-pos	0.563696007	3.97	306.0975
HILp_QI10368			HILIC-pos	0.13121889	3.97	345.145
HILp_QI11201			HILIC-pos	0.05676192	3.97	372.2236
HILp_QI1316			HILIC-pos	0.983303444	3.97	137.0602
HILp_QI3642			HILIC-pos	0.284097708	3.97	191.0489
HILp_QI6965			HILIC-pos	0.077932114	3.97	266.1025
HILp_QI1306			HILIC-pos	0.237737116	3.98	137.0466
HILp_QI2035			HILIC-pos	0.81779574	3.98	154.0289
HILp_QI4287			HILIC-pos	0.110939599	3.98	206.0449
HILp_QI4477			HILIC-pos	0.027947492	3.98	210.1128
HILp_QI6895			HILIC-pos	0.718007093	3.98	264.1224
HILp_QI7050			HILIC-pos	0.053932073	3.98	268.0816
HILp_QI115			HILIC-pos	0.27827507	3.98	86.061
HILp_QI617			HILIC-pos	0.031126694	3.98	118.0868
HILp_QI4211			HILIC-pos		3.98	204.0324
HILp_QI6664			HILIC-pos	0.602109992	3.98	258.1339
HILp_QI7443			HILIC-pos	0.061791286	3.98	275.1032
HILp_QI8881			HILIC-pos	0.002581467	3.98	305.1732
HILp_QI11205			HILIC-pos	0.347676056	3.98	372.2493
HILp_QI14265			HILIC-pos	0.817099143	3.98	503.3403
HILp_QI17589			HILIC-pos	0.123616646	3.98	560.3809
HILp_QI23754			HILIC-pos	0.097392511	3.98	677.3407
HILp_QI1291			HILIC-pos	0.30500468	3.98	137.0366
HILp_QI5068			HILIC-pos	0.127677817	3.98	224.1281
HILp_QI7173			HILIC-pos	0.322291304	3.98	270.1146
HILp_QI7753			HILIC-pos	0.606223229	3.98	282.124
HILp_QI7871			HILIC-pos	0.085828934	3.98	284.1133
HILp_QI8489			HILIC-pos	0.21720951	3.98	297.1454
HILp_QI8731			HILIC-pos	2.206836056	3.98	302.1557
HILp_QI9149			HILIC-pos	0.918662452	3.98	312.1454
HILp_QI14153			HILIC-pos	0.280977079	3.98	500.2413
HILp_QI1452			HILIC-pos	0.11554841	3.99	140.0709
HILp_QI2592			HILIC-pos	0.349529937	3.99	166.0519
HILp_QI4466			HILIC-pos	0.445651929	3.99	210.0957
HILp_QI4981			HILIC-pos	0.071824932	3.99	223.0718
HILp_QI6687			HILIC-pos	0.517755854	3.99	259.0711
HILp_QI8767			HILIC-pos	0.980203232	3.99	303.0606
HILp_QI479			HILIC-pos	0.206976976	3.99	112.0764
HILp_QI6134			HILIC-pos		3.99	247.0575
HILp_QI7754			HILIC-pos	0.532255793	3.99	282.133
HILp_QI9094			HILIC-pos	0.58723887	3.99	311.1099
HILp_QI11196			HILIC-pos	0.170871152	3.99	372.1564
HILp_QI16779			HILIC-pos	0.056059938	3.99	547.3294
